escenario,matriz,panel,fila,columna,valor_reejecutado,valor_original_png,dif_abs,coincide
con_restriccion,P,0,National Bank,National Bank,0.0,0.0,0.0,True
con_restriccion,P,0,National Bank,Local Bank,0.0,0.0,0.0,True
con_restriccion,P,0,Local Bank,National Bank,0.0,0.0,0.0,True
con_restriccion,P,0,Local Bank,Local Bank,0.0,0.0,0.0,True
con_restriccion,P,0,Local Bank,Local Firm,0.0,0.0,0.0,True
con_restriccion,P,0,Local Firm,Local Bank,0.0,0.0,0.0,True
con_restriccion,P,0,Local Firm,Local Firm,0.0,0.0,0.0,True
con_restriccion,P,1,National Bank,National Bank,0.0,0.0,0.0,True
con_restriccion,P,1,National Bank,Local Bank,-0.053571,-0.05,0.003571,True
con_restriccion,P,1,Local Bank,National Bank,0.053571,0.05,0.003571,True
con_restriccion,P,1,Local Bank,Local Bank,0.0,0.0,0.0,True
con_restriccion,P,1,Local Bank,Local Firm,0.055714,0.06,0.004286,True
con_restriccion,P,1,Local Firm,Local Bank,-0.055714,-0.06,0.004286,True
con_restriccion,P,1,Local Firm,Local Firm,0.0,0.0,0.0,True
con_restriccion,P,2,National Bank,National Bank,0.0,0.0,0.0,True
con_restriccion,P,2,National Bank,Local Bank,-0.099011,-0.1,0.000989,True
con_restriccion,P,2,Local Bank,National Bank,0.099011,0.1,0.000989,True
con_restriccion,P,2,Local Bank,Local Bank,0.0,0.0,0.0,True
con_restriccion,P,2,Local Bank,Local Firm,0.095816,0.1,0.004184,True
con_restriccion,P,2,Local Firm,Local Bank,-0.095816,-0.1,0.004184,True
con_restriccion,P,2,Local Firm,Local Firm,0.0,0.0,0.0,True
con_restriccion,P,inf,National Bank,National Bank,0.0,0.0,0.0,True
con_restriccion,P,inf,National Bank,Local Bank,-0.261663,-0.26,0.001663,True
con_restriccion,P,inf,Local Bank,National Bank,0.261663,0.26,0.001663,True
con_restriccion,P,inf,Local Bank,Local Bank,0.0,0.0,0.0,True
con_restriccion,P,inf,Local Bank,Local Firm,0.230888,0.23,0.000888,True
con_restriccion,P,inf,Local Firm,Local Bank,-0.230888,-0.23,0.000888,True
con_restriccion,P,inf,Local Firm,Local Firm,0.0,0.0,0.0,True
con_restriccion,W,0,National Bank,National Bank,-0.1,-0.1,0.0,True
con_restriccion,W,0,National Bank,Local Bank,0.2,0.2,0.0,True
con_restriccion,W,0,Local Bank,National Bank,0.4,0.4,0.0,True
