metrica,tesis,recalculado,dif,tolerancia,coincide
Bilateral Volume (con),0.822,0.8220790610475233,7.906104752331e-05,0.0005,True
Bilateral Volume (sin),1.976,1.9764153595727834,0.0004153595727833803,0.0005,True
Total Positions (con),1.626,1.6261678777891513,0.00016787778915139384,0.0005,True
Total Positions (sin),4.543,4.542821609572783,0.00017839042721679021,0.0005,True
Utility National Bank (con),0.0636,0.0635929071478502,7.092852149809259e-06,5e-05,True
Utility Local Bank (con),0.4405,0.4405324775545837,3.247755458368751e-05,5e-05,True
Utility Local Firm (con),0.202,0.20200062124274346,6.212427434426626e-07,5e-05,True
Utility National Bank (sin),0.4125,0.41246664768918156,3.3352310818413056e-05,5e-05,True
Utility Local Bank (sin),0.4254,0.42538206085282365,1.7939147176349035e-05,5e-05,True
Cambio volumen (%),140.4,140.41670116915063,0.01670116915062181,0.05,True
Cambio posiciones (%),179.3,179.35748034507697,0.057480345076953654,0.05,False
Activity Loss (%),58.4,58.405551896478805,0.005551896478806384,0.05,True
Cambio utilidad Nat. Bank (%),548.6,548.6047991645013,0.004799164501264386,0.05,True
Cambio utilidad Local Bank (%),-3.4,-3.439114588295671,0.03911458829567094,0.05,True
